review,sentiment
clear director confident working element martial art film anyone looking tense action likely disappointed intrigued director aesthetic likely find unique experience least,0
independent otherwise low budget weak story need pretty face carry result project forgettable insult intelligent cinema fan,0
really ask people giving money produce movie,0
mainly camera work supporting player,0
still movie one worst movie ever seen even nude dancing scene pretty bad actually fast forwarded sat warn,0
film suffers somewhat ambiguous ending br br typical hollywood movie ethnic relation person crisis faith worth watching appreciating excellent performance principal actor,1
whats worse watch thing twice heard married get visit ball month hope film,0
thereby creating perfect woman man best body soul one bright aspect film sax music resonates strongly every time doctor scour town female beauty,1
waste time utter pile turd br br,0
never really found place story open close around little long worth every minute last analysis br br,1
enjoyed acting good moment make jump wish scared,1
enough raving go watch rush rio amazed guarantee br br,1
show thankfully leave imprint viewer memory television tuned dead channel maximum volume,0
indeed movie actually never posted movie actively looking movie imdb numerous year fact actually taking time write something speak volume bad movie waste time money,0
waste time,0
thanks,1
bennett girl almost indistinguishable mr wickham man one would look twice hardly appealing cad quite put,0
getting limited resource worth money paid,0
go bit wrong reason simply enough blood fill void br br every person know gert fylking good laugh role sgt though nearly laughed as really hilariously bad br br besides good part listed really nothing else recommend unless starved swedish b movie br br,0
internet right br br let review claiming star movie fool obviously either distributor film maybe even director trying con thinking piece junk worth buying br br laughable,0
magical reservation one single car chase br br easy nine star,1
