review,sentiment
" it's clear that the director isn't as confident working with the elements of the martial arts film. Anyone looking for tense action is likely to be disappointed. But those intrigued by the director's aesthetic will likely find this a unique experience at the very least.""",0
" independent or otherwise. A low budget and weak story need more than a pretty face to carry it through. The """"results"""" of this project are forgettable and an insult to intelligent cinema fans.""",0
" but I really have to ask myself who these people are giving their money to produce such a movie ....""",0
" mainly for the camera work and the supporting players.""",0
" still this movie has to be one of the worst movies I have ever seen. Even the nude dancing scene was pretty bad that I actually fast forwarded through that. Don't sat I did not warn you.""",0
" and the film suffers somewhat from its ambiguous ending..<br /><br />This is not a 'typical' Hollywood movie on ethnic relations or about a person's crisis of faith.. it is worth watching more than once and appreciating the excellent performances of the principal actors..""",1
" SHE had too. Whats worse is that she had to watch this $%&@ thing TWICE! I heard their married now and he gets to visit his balls once a month. I hope it was because of this film.""",0
" thereby creating the perfect woman for a man with the best of both body and soul. One other very bright aspect of the film is the sax music which resonates strongly every time the doctor scours town for female beauties.""",1
" but don't waste your time with this utter pile of turd.<br /><br />""",0
" but they never really found their place in the story to open and close around them. A little long. Worth every minute in the last analysis. 8 / 10. <br /><br />""",1
" I enjoyed it. The acting is good and there are moments that make you jump. I just wish it scared me more.""",1
" enough of my raving! Go watch """"Rush in Rio"""" for yourself. You will be amazed. I guarantee it.<br /><br />10/10""",1
" by which the show will thankfully leave the same imprint on the viewer's memory as a television tuned to a dead channel at maximum volume.""",0
" but it was indeed the movie. I've actually never posted on here about a movie before and have been actively looking up movies on IMDb for numerous years. So the fact that I'm actually taking the time to write something should speak volumes of how bad this movie is and that you should not waste your time or money on it.""",0
"it's just a waste of time.""",0
" Thanks.""",1
" the Bennett girls almost indistinguishable and Mr. Wickham a man who no one would look twice at - hardly the appealing cad! I'm quite put out!""",0
" and for getting the most out of limited resources - but not worth the money I paid for it)""",0
" that's where it goes a bit wrong for some reason. There's is simply not enough blood to fill the void. <br /><br />Every person who know about Gert Fylking will have a good laugh over his role as a sgt. though. I nearly laughed my ass off. It's really that hilariously bad. <br /><br />Besides the good parts I've listed there's really nothing else to recommend here unless you're starved for swedish B-movies.<br /><br />4/10""",0
") on the internet... right. now.<br /><br />Don't let the other reviews claiming this is a 10 star movie fool you. They are obviously either distributors of the film or maybe even the director trying to con you into thinking this piece of junk is worth buying.<br /><br />Laughable.""",0
" magical (with the above reservations) and has not one single car-chase.<br /><br />An easy nine stars.""",1
